	bioproject	Title	collection_date	geo_loc_name	lat_lon	isolate	depth	elev	isolation_source	host	sample_type	description	env_broad_scale	env_local_scale	env_medium	BioSampleModel	replicate	harvest	isotope	fraction	density.g.ml	qPCR.16S.copies.ul	leaf	BioProject	Unnamed: 2	env_biome	env_feature	env_material	host_taxid	ref_biomaterial	rel_to_oxygen	samp_collect_device	differentiation	host_disease	host_genotype	source_material_id	samp_mat_process	samp_size	loader	Attribute	host_height	strain	ecotype	isol_growth_condt	host_age	host_infra_specific_name	plant_body_site	host_health_status	Sample_identity	host_life_stage	air_temp_regm	climate_environment	Stefanie Glaeser	Ebru Aydogan	Peter Kaempfer	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE	ENA first public	ENA last update	External Id	INSDC center alias	INSDC center name	INSDC first public	INSDC last update	INSDC status	Submitter Id	collection date	environment (biome)	environment (feature)	environment (material)	geographic location (country and/or sea)	geographic location (latitude)	geographic location (longitude)	host-associated environmental package	investigation type	project name	sample name	sequencing method	replicates	fungicide_regm	miscellaneous environmental package	ID	envir_treatment	sample_ID	altitude	temp	tree_height	Plantation	Replicate	humidity_regm	mechanical_damage	radiation_regm	samp_store_loc	samp_store_temp	season_environment	cultivar	plot	Sequencing Technology	Plant ID	collected_by	agricultural_management	antibiotic_regm	biotic_relationship	chem_administration	chem_mutagen	extrachrom_elements	fertilizer_regm	gravity	growth_hormone_regm	growth_med	herbicide_regm	host_dry_mass	host_infra_specific_rank	host_length	host_phenotype	host_tot_mass	host_wet_mass	mineral_nutr_regm	misc_param	non_mineral_nutr_regm	omics_observ_id	organism_count	oxy_stat_samp	perturbation	pesticide_regm	ph_regm	plant_product	rainfall_regm	salt_regm	samp_salinity	samp_store_dur	samp_vol_we_dna_ext	standing_water_regm	subspecf_gen_lin	tiss_cult_growth_med	trophic_level	water_temp_regm	watering_regm	Site	Meter	TransectLocation	SiteDescription	PCC	d15N_NA	d15N	perc_N	C.N	Tree_density	BA_m2	perc.sw	perc.hw	Moisture	FixationRate	MAT	MAP	UV_light	Radiation	Olayer.depth	Perm.depth	pH
SAMN16507889	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A2	H2	18	13	1.7179368	122692.222	Arizona Ash																																																																																																																																									
SAMN16507888	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A2	H2	18	12	1.7135216	148423.3234	Arizona Ash																																																																																																																																									
SAMN16507887	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A2	H2	18	11	1.7091064	179703.7604	Arizona Ash																																																																																																																																									
SAMN16507886	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A2	H2	18	10	1.705795	154613.6129	Arizona Ash																																																																																																																																									
SAMN16508149	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F3	H1	18	14	1.7070222	39.26610686	Fremont Cottonwood																																																																																																																																									
SAMN16508148	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F3	H1	18	13	1.705886	36.04527074	Fremont Cottonwood																																																																																																																																									
SAMN16508147	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F3	H1	18	12	1.7013412	102.8121045	Fremont Cottonwood																																																																																																																																									
SAMN16508146	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F3	H1	18	10	1.6956602	158.486916	Fremont Cottonwood																																																																																																																																									
SAMN16507822	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A1	H2	16	2	1.657575	124587.1132	Arizona Ash																																																																																																																																									
SAMN16508145	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F3	H1	18	1	1.6570294	236.0801892	Fremont Cottonwood																																																																																																																																									
SAMN16508144	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F3	H1	16	9	1.6865706	96.10294288	Fremont Cottonwood																																																																																																																																									
SAMN16508143	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F3	H1	16	8	1.6820258	145.8395276	Fremont Cottonwood																																																																																																																																									
SAMN16508142	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F3	H1	16	7	1.6763448	245.0483923	Fremont Cottonwood																																																																																																																																									
SAMN16508141	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F3	H1	16	5	1.6649828	276.5964444	Fremont Cottonwood																																																																																																																																									
SAMN16508140	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F3	H1	16	4	1.6581656	149.1197805	Fremont Cottonwood																																																																																																																																									
SAMN16508139	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F3	H1	16	3	1.6513484	143.5379474	Fremont Cottonwood																																																																																																																																									
SAMN16508138	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F3	H1	16	21	1.72861	58.6732906	Fremont Cottonwood																																																																																																																																									
SAMN16508137	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F3	H1	16	20	1.7320186	33.57824857	Fremont Cottonwood																																																																																																																																									
SAMN16508136	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F3	H1	16	17	1.7161118	93.2170081	Fremont Cottonwood																																																																																																																																									
SAMN16507821	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A1	H2	16	14	1.704405	894.6631306	Arizona Ash																																																																																																																																									
SAMN16508135	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F3	H1	16	14	1.7024774	32.41906012	Fremont Cottonwood																																																																																																																																									
SAMN16508134	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F3	H1	16	11	1.694524	58.26375183	Fremont Cottonwood																																																																																																																																									
SAMN16508133	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F3	H1	16	10	1.6877068	170.1687128	Fremont Cottonwood																																																																																																																																									
SAMN16508132	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F2	H2	18	9	1.702329	658.1158411	Fremont Cottonwood																																																																																																																																									
SAMN16508131	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F2	H2	18	8	1.697861	693.1596968	Fremont Cottonwood																																																																																																																																									
SAMN16508130	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F2	H2	18	5	1.693393	2363.295691	Fremont Cottonwood																																																																																																																																									
SAMN16508129	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F2	H2	18	4	1.693393	2817.034993	Fremont Cottonwood																																																																																																																																									
SAMN16508128	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F2	H2	18	3	1.693393	2260.45768	Fremont Cottonwood																																																																																																																																									
SAMN16507883	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A2	H2	16	7	1.66761	9236.615611	Arizona Ash																																																																																																																																									
SAMN16507882	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A2	H2	16	4	1.655345	20370.93729	Arizona Ash																																																																																																																																									
SAMN16507881	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A2	H2	16	2	1.652	17872.62595	Arizona Ash																																																																																																																																									
SAMN16507880	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A2	H2	16	17	1.715555	165.5172868	Arizona Ash																																																																																																																																									
SAMN16507879	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A2	H2	16	16	1.706635	628.523051	Arizona Ash																																																																																																																																									
SAMN16507878	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A2	H2	16	15	1.706635	1274.49123	Arizona Ash																																																																																																																																									
SAMN16507877	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A2	H2	16	14	1.70106	514.0597357	Arizona Ash																																																																																																																																									
SAMN16508686	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O4	H2	18	9	1.7013798	16763.69928	Gambel Oak																																																																																																																																									
SAMN16507876	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A2	H2	16	13	1.6966	617.0363521	Arizona Ash																																																																																																																																									
SAMN16507795	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A1	H1	16	18	1.729772	228.8033065	Arizona Ash																																																																																																																																									
SAMN16508685	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O4	H2	18	8	1.694757	24212.66871	Gambel Oak																																																																																																																																									
SAMN16508684	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O4	H2	18	7	1.6936532	8985.184527	Gambel Oak																																																																																																																																									
SAMN16508683	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O4	H2	18	6	1.6903418	14683.19692	Gambel Oak																																																																																																																																									
SAMN16508682	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O4	H2	18	5	1.6870304	10044.35876	Gambel Oak																																																																																																																																									
SAMN16508681	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O4	H2	18	4	1.683719	6839.32185	Gambel Oak																																																																																																																																									
SAMN16508680	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O4	H2	18	3	1.6826152	7834.009452	Gambel Oak																																																																																																																																									
SAMN16508679	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O4	H2	18	2	1.6815114	5250.056958	Gambel Oak																																																																																																																																									
SAMN16508678	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O4	H2	18	15	1.7267672	720.2930416	Gambel Oak																																																																																																																																									
SAMN16508677	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O4	H2	18	14	1.7245596	683.4056328	Gambel Oak																																																																																																																																									
SAMN16508676	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O4	H2	18	13	1.7201444	1635.489631	Gambel Oak																																																																																																																																									
SAMN16507875	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A2	H2	16	12	1.691025	11747.82435	Arizona Ash																																																																																																																																									
SAMN16508675	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O4	H2	18	12	1.716833	3136.478982	Gambel Oak																																																																																																																																									
SAMN16508674	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O4	H2	18	11	1.7091064	6870.197974	Gambel Oak																																																																																																																																									
SAMN16508673	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O4	H2	16	9	1.7017795	13750.84729	Gambel Oak																																																																																																																																									
SAMN16508672	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O4	H2	16	8	1.6973247	14476.04814	Gambel Oak																																																																																																																																									
SAMN16508561	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O2	H2	18	3	1.6750507	10862.22278	Gambel Oak																																																																																																																																									
SAMN16508560	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O2	H2	18	2	1.673937	3870.315487	Gambel Oak																																																																																																																																									
SAMN16508559	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O2	H2	18	14	1.7195987	287.5423755	Gambel Oak																																																																																																																																									
SAMN16508558	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O2	H2	18	13	1.7140302	1270.158447	Gambel Oak																																																																																																																																									
SAMN16508557	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O2	H2	18	12	1.7106891	3737.831808	Gambel Oak																																																																																																																																									
SAMN16508556	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O2	H2	18	11	1.7051206	269.6444944	Gambel Oak																																																																																																																																									
SAMN16507863	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A2	H1	18	11	1.719368	33647.6371	Arizona Ash																																																																																																																																									
SAMN16508555	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O2	H2	18	10	1.7006658	6436.765145	Gambel Oak																																																																																																																																									
SAMN16508554	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O2	H2	16	9	1.6984384	14976.78983	Gambel Oak																																																																																																																																									
SAMN16508553	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O2	H2	16	8	1.6928699	10315.10001	Gambel Oak																																																																																																																																									
SAMN16508552	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O2	H2	16	7	1.6895288	18705.76952	Gambel Oak																																																																																																																																									
SAMN16508551	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O2	H2	16	6	1.6861877	30945.13763	Gambel Oak																																																																																																																																									
SAMN16508550	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O2	H2	16	4	1.6817329	108629.5789	Gambel Oak																																																																																																																																									
SAMN16508549	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O2	H2	16	3	1.6795055	161572.8732	Gambel Oak																																																																																																																																									
