	BioProject	Title	collection_date	geo_loc_name	lat_lon	isolate	depth	elev	isolation_source	host	sample_type	description	env_broad_scale	env_local_scale	env_medium	BioSampleModel	replicate	BioProject.1	rel_to_oxygen	samp_collect_device	samp_size	cultivar	plot	BioSample	Target	Layout	Primer_set	Region	Extraction_method	Fwd_file	Rev_file
SRR16571682	PRJNA774441		2020-06-17	China:Nanjing	32.01 N 118.52 E				greenhouse vegetable soil							Metagenome or environmental	replicate = biological replicate 16							SAMN22563725	Fungi	paired	ITS3_KYO2-ITS4	ITS2	HiPure Soil DNA Kits	ITS_N1C2-1-2_1.fq.gz	ITS_N1C2-1-2_2.fq.gz
SRR16571683	PRJNA774441		2020-06-17	China:Nanjing	32.01 N 118.52 E				greenhouse vegetable soil							Metagenome or environmental	replicate = biological replicate 15							SAMN22563724	Fungi	paired	ITS3_KYO2-ITS4	ITS2	HiPure Soil DNA Kits	ITS_N1C1-3-2_1.fq.gz	ITS_N1C1-3-2_2.fq.gz
SRR16571684	PRJNA774441		2020-06-17	China:Nanjing	32.01 N 118.52 E				greenhouse vegetable soil							Metagenome or environmental	replicate = biological replicate 14							SAMN22563723	Fungi	paired	ITS3_KYO2-ITS4	ITS2	HiPure Soil DNA Kits	ITS_N1C1-2-2_1.fq.gz	ITS_N1C1-2-2_2.fq.gz
SRR16571685	PRJNA774441		2020-06-17	China:Nanjing	32.01 N 118.52 E				greenhouse vegetable soil							Metagenome or environmental	replicate = biological replicate 13							SAMN22563722	Fungi	paired	ITS3_KYO2-ITS4	ITS2	HiPure Soil DNA Kits	ITS_N1C1-1-2_1.fq.gz	ITS_N1C1-1-2_2.fq.gz
SRR16571686	PRJNA774441		2020-06-17	China:Nanjing	32.01 N 118.52 E				greenhouse vegetable soil							Metagenome or environmental	replicate = biological replicate 12							SAMN22563721	Fungi	paired	ITS3_KYO2-ITS4	ITS2	HiPure Soil DNA Kits	ITS_N1C0-3-2_1.fq.gz	ITS_N1C0-3-2_2.fq.gz
SRR16571687	PRJNA774441		2020-06-17	China:Nanjing	32.01 N 118.52 E				greenhouse vegetable soil							Metagenome or environmental	replicate = biological replicate 11							SAMN22563720	Fungi	paired	ITS3_KYO2-ITS4	ITS2	HiPure Soil DNA Kits	ITS_N1C0-2-2_1.fq.gz	ITS_N1C0-2-2_2.fq.gz
SRR16571688	PRJNA774441		2020-06-17	China:Nanjing	32.01 N 118.52 E				greenhouse vegetable soil							Metagenome or environmental	replicate = biological replicate 2							SAMN22563711	Fungi	paired	ITS3_KYO2-ITS4	ITS2	HiPure Soil DNA Kits	ITS_N0C0-2-2_1.fq.gz	ITS_N0C0-2-2_2.fq.gz
SRR16571689	PRJNA774441		2020-06-17	China:Nanjing	32.01 N 118.52 E				greenhouse vegetable soil							Metagenome or environmental	replicate = biological replicate 1							SAMN22563710	Fungi	paired	ITS3_KYO2-ITS4	ITS2	HiPure Soil DNA Kits	ITS_N0C0-1-2_1.fq.gz	ITS_N0C0-1-2_2.fq.gz
SRR12401455	PRJNA655213	Fungi	2019-05-27	missing	missing				soil sample FJRS1	not applicable						Metagenome or environmental		PRJNA655213						SAMN15728606	Fungi	paired	ITS1F-ITS2R	ITS1	ENZA HP Plant DNA Mini Kit	FJRS1.R1.fq	FJRS1.R2.fq
SRR12401458	PRJNA655213	Fungi	2019-05-25	missing	missing				soil sample HBRS2	not applicable						Metagenome or environmental		PRJNA655213						SAMN15728595	Fungi	paired	ITS1F-ITS2R	ITS1	ENZA HP Plant DNA Mini Kit	HBRS2.R1.fq	HBRS2.R2.fq
SRR12401459	PRJNA655213	Fungi	2019-05-25	missing	missing				soil sample HBRS1	not applicable						Metagenome or environmental		PRJNA655213						SAMN15728594	Fungi	paired	ITS1F-ITS2R	ITS1	ENZA HP Plant DNA Mini Kit	HBRS1.R1.fq	HBRS1.R2.fq
SRR12401471	PRJNA655213	Fungi	2019-05-25	missing	missing				soil sample HBRS3	not applicable						Metagenome or environmental		PRJNA655213						SAMN15728596	Fungi	paired	ITS1F-ITS2R	ITS1	ENZA HP Plant DNA Mini Kit	HBRS3.R1.fq	HBRS3.R2.fq
SRR12401477	PRJNA655213	Fungi	2019-05-27	missing	missing				soil sample FJRS3	not applicable						Metagenome or environmental		PRJNA655213						SAMN15728608	Fungi	paired	ITS1F-ITS2R	ITS1	ENZA HP Plant DNA Mini Kit	FJRS3.R1.fq	FJRS3.R2.fq
SRR12401478	PRJNA655213	Fungi	2019-05-27	missing	missing				soil sample FJRS2	not applicable						Metagenome or environmental		PRJNA655213						SAMN15728607	Fungi	paired	ITS1F-ITS2R	ITS1	ENZA HP Plant DNA Mini Kit	FJRS2.R1.fq	FJRS2.R2.fq
SRR7964949	PRJNA494573		2016-07-20	USA: Plot_17, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t642, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t642	17.0	SAMN10173184	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP07S17_S246_L001_R1_001.fastq	Y16TP07S17_S246_L001_R2_001.fastq
SRR7964950	PRJNA494573		2016-07-20	USA: Plot_18, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t430, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t430	18.0	SAMN10173185	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP07S18_S247_L001_R1_001.fastq	Y16TP07S18_S247_L001_R2_001.fastq
SRR7964951	PRJNA494573		2016-07-20	USA: Plot_5, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t430, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t430	5.0	SAMN10173186	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP07S5_S251_L001_R1_001.fastq	Y16TP07S5_S251_L001_R2_001.fastq
SRR7964952	PRJNA494573		2016-07-20	USA: Plot_6, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t642, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t642	6.0	SAMN10173187	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP07S6_S252_L001_R1_001.fastq	Y16TP07S6_S252_L001_R2_001.fastq
SRR7964964	PRJNA494573		2016-07-20	USA: Plot_14, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t642, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t642	14.0	SAMN10173183	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP07S14_S245_L001_R1_001.fastq	Y16TP07S14_S245_L001_R2_001.fastq
SRR7964965	PRJNA494573		2016-07-20	USA: Plot_13, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t430, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t430	13.0	SAMN10173182	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP07S13_S244_L001_R1_001.fastq	Y16TP07S13_S244_L001_R2_001.fastq
SRR7964974	PRJNA494573		2016-08-03	USA: Plot_3, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t430, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t430	3.0	SAMN10173283	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP09S3_S271_L001_R1_001.fastq	Y16TP09S3_S271_L001_R2_001.fastq
SRR7964975	PRJNA494573		2016-08-03	USA: Plot_22, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t430, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t430	22.0	SAMN10173282	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP09S22_S270_L001_R1_001.fastq	Y16TP09S22_S270_L001_R2_001.fastq
SRR7964976	PRJNA494573		2016-08-03	USA: Plot_21, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t642, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t642	21.0	SAMN10173281	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP09S21_S269_L001_R1_001.fastq	Y16TP09S21_S269_L001_R2_001.fastq
SRR7964977	PRJNA494573		2016-08-03	USA: Plot_18, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t430, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t430	18.0	SAMN10173280	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP09S18_S265_L001_R1_001.fastq	Y16TP09S18_S265_L001_R2_001.fastq
SRR7964978	PRJNA494573		2016-08-03	USA: Plot_17, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t642, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t642	17.0	SAMN10173279	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP09S17_S264_L001_R1_001.fastq	Y16TP09S17_S264_L001_R2_001.fastq
SRR7964979	PRJNA494573		2016-08-03	USA: Plot_14, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t642, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t642	14.0	SAMN10173278	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP09S14_S263_L001_R1_001.fastq	Y16TP09S14_S263_L001_R2_001.fastq
SRR7964980	PRJNA494573		2016-08-03	USA: Plot_13, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t430, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t430	13.0	SAMN10173277	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP09S13_S262_L001_R1_001.fastq	Y16TP09S13_S262_L001_R2_001.fastq
SRR7964996	PRJNA494573		2016-08-03	USA: Plot_6, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t642, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t642	6.0	SAMN10173286	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP09S6_S274_L001_R1_001.fastq	Y16TP09S6_S274_L001_R2_001.fastq
SRR7964998	PRJNA494573		2016-08-03	USA: Plot_4, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t642, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t642	4.0	SAMN10173284	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP09S4_S272_L001_R1_001.fastq	Y16TP09S4_S272_L001_R2_001.fastq
SRR7964999	PRJNA494573		2016-08-03	USA: Plot_5, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t430, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t430	5.0	SAMN10173285	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP09S5_S273_L001_R1_001.fastq	Y16TP09S5_S273_L001_R2_001.fastq
SRR7965013	PRJNA494573		2016-07-27	USA: Plot_6, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t642, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t642	6.0	SAMN10173234	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP08S6_S258_L001_R1_001.fastq	Y16TP08S6_S258_L001_R2_001.fastq
SRR7965019	PRJNA494573		2016-07-27	USA: Plot_4, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t642, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t642	4.0	SAMN10173232	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP08S4_S256_L001_R1_001.fastq	Y16TP08S4_S256_L001_R2_001.fastq
SRR7965020	PRJNA494573		2016-07-27	USA: Plot_5, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t430, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t430	5.0	SAMN10173233	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP08S5_S257_L001_R1_001.fastq	Y16TP08S5_S257_L001_R2_001.fastq
SRR7965021	PRJNA494573		2016-07-27	USA: Plot_14, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t642, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t642	14.0	SAMN10173224	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP08S14_S246_L001_R1_001.fastq	Y16TP08S14_S246_L001_R2_001.fastq
SRR7965022	PRJNA494573		2016-07-27	USA: Plot_15, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t642, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t642	15.0	SAMN10173225	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP08S15_S247_L001_R1_001.fastq	Y16TP08S15_S247_L001_R2_001.fastq
SRR7965023	PRJNA494573		2016-07-27	USA: Plot_16, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t430, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t430	16.0	SAMN10173226	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP08S16_S248_L001_R1_001.fastq	Y16TP08S16_S248_L001_R2_001.fastq
SRR7965024	PRJNA494573		2016-07-27	USA: Plot_17, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t642, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t642	17.0	SAMN10173227	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP08S17_S249_L001_R1_001.fastq	Y16TP08S17_S249_L001_R2_001.fastq
SRR7965025	PRJNA494573		2016-07-27	USA: Plot_18, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t430, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t430	18.0	SAMN10173228	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP08S18_S250_L001_R1_001.fastq	Y16TP08S18_S250_L001_R2_001.fastq
SRR7965026	PRJNA494573		2016-07-27	USA: Plot_21, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t642, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t642	21.0	SAMN10173229	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP08S21_S253_L001_R1_001.fastq	Y16TP08S21_S253_L001_R2_001.fastq
SRR7965027	PRJNA494573		2016-07-27	USA: Plot_22, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t430, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t430	22.0	SAMN10173230	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP08S22_S254_L001_R1_001.fastq	Y16TP08S22_S254_L001_R2_001.fastq
SRR7965028	PRJNA494573		2016-07-27	USA: Plot_3, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t430, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t430	3.0	SAMN10173231	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP08S3_S255_L001_R1_001.fastq	Y16TP08S3_S255_L001_R2_001.fastq
SRR7965037	PRJNA494573		2016-07-27	USA: Plot_13, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t430, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t430	13.0	SAMN10173223	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP08S13_S245_L001_R1_001.fastq	Y16TP08S13_S245_L001_R2_001.fastq
SRR7964606	PRJNA494573		2016-08-24	USA: Plot_5, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t430, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t430	5.0	SAMN10173613	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP12S5_S75_L001_R1_001.fastq	Y16TP12S5_S75_L001_R2_001.fastq
SRR7964607	PRJNA494573		2016-08-24	USA: Plot_6, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t642, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t642	6.0	SAMN10173614	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP12S6_S76_L001_R1_001.fastq	Y16TP12S6_S76_L001_R2_001.fastq
SRR7964630	PRJNA494573		2016-08-24	USA: Plot_4, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t642, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t642	4.0	SAMN10173612	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP12S4_S74_L001_R1_001.fastq	Y16TP12S4_S74_L001_R2_001.fastq
SRR7964631	PRJNA494573		2016-08-24	USA: Plot_3, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t430, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t430	3.0	SAMN10173611	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP12S3_S73_L001_R1_001.fastq	Y16TP12S3_S73_L001_R2_001.fastq
SRR7964632	PRJNA494573		2016-08-24	USA: Plot_22, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t430, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t430	22.0	SAMN10173610	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP12S22_S72_L001_R1_001.fastq	Y16TP12S22_S72_L001_R2_001.fastq
SRR7964633	PRJNA494573		2016-08-24	USA: Plot_21, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t642, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t642	21.0	SAMN10173609	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP12S21_S71_L001_R1_001.fastq	Y16TP12S21_S71_L001_R2_001.fastq
SRR7964634	PRJNA494573		2016-08-24	USA: Plot_18, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t430, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t430	18.0	SAMN10173608	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP12S18_S67_L001_R1_001.fastq	Y16TP12S18_S67_L001_R2_001.fastq
SRR7964635	PRJNA494573		2016-08-24	USA: Plot_17, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t642, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t642	17.0	SAMN10173607	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP12S17_S66_L001_R1_001.fastq	Y16TP12S17_S66_L001_R2_001.fastq
SRR7964636	PRJNA494573		2016-08-24	USA: Plot_16, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t430, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t430	16.0	SAMN10173606	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP12S16_S65_L001_R1_001.fastq	Y16TP12S16_S65_L001_R2_001.fastq
SRR7964637	PRJNA494573		2016-08-24	USA: Plot_15, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t642, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t642	15.0	SAMN10173605	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP12S15_S64_L001_R1_001.fastq	Y16TP12S15_S64_L001_R2_001.fastq
SRR7964638	PRJNA494573		2016-08-24	USA: Plot_14, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t642, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t642	14.0	SAMN10173604	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP12S14_S63_L001_R1_001.fastq	Y16TP12S14_S63_L001_R2_001.fastq
SRR7964639	PRJNA494573		2016-08-24	USA: Plot_13, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t430, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t430	13.0	SAMN10173603	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP12S13_S62_L001_R1_001.fastq	Y16TP12S13_S62_L001_R2_001.fastq
SRR7964652	PRJNA494573		2016-08-31	USA: Plot_6, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t642, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t642	6.0	SAMN10173668	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP13S6_S112_L001_R1_001.fastq	Y16TP13S6_S112_L001_R2_001.fastq
SRR7964653	PRJNA494573		2016-08-31	USA: Plot_5, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t430, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t430	5.0	SAMN10173667	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP13S5_S111_L001_R1_001.fastq	Y16TP13S5_S111_L001_R2_001.fastq
SRR7964656	PRJNA494573		2016-08-31	USA: Plot_22, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t430, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t430	22.0	SAMN10173664	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP13S22_S108_L001_R1_001.fastq	Y16TP13S22_S108_L001_R2_001.fastq
SRR7964657	PRJNA494573		2016-08-31	USA: Plot_21, Kearney Agricultural Research and Extension (KARE) Center in Parlier, CA	36.6008 N 119.5109 W				soil	Cultivar_t642, Sorghum bicolor	Soil					Metagenome or environmental		PRJNA494573				t642	21.0	SAMN10173663	Fungi	paired	5.8SFun-ITS4Fun	ITS2	MoBio PowerSoil	Y16TP13S21_S107_L001_R1_001.fastq	Y16TP13S21_S107_L001_R2_001.fastq
